,s_0_ma,s_0_me,s_0_vol,s_0_nb,s_0_freq,s_0_ratio,s_0_ratio2,s_1_ma,s_1_me,s_1_vol,s_1_nb,s_1_freq,s_1_ratio,s_1_ratio2,s_2_ma,s_2_me,s_2_vol,s_2_nb,s_2_freq,s_2_ratio,s_2_ratio2,s_3_ma,s_3_me,s_3_vol,s_3_nb,s_3_freq,s_3_ratio,s_3_ratio2,s_4_ma,s_4_me,s_4_vol,s_4_nb,s_4_freq,s_4_ratio,s_4_ratio2,s_5_ma,s_5_me,s_5_vol,s_5_nb,s_5_freq,s_5_ratio,s_5_ratio2,s_6_ma,s_6_me,s_6_vol,s_6_nb,s_6_freq,s_6_ratio,s_6_ratio2,s_7_ma,s_7_me,s_7_vol,s_7_nb,s_7_freq,s_7_ratio,s_7_ratio2,s_8_ma,s_8_me,s_8_vol,s_8_nb,s_8_freq,s_8_ratio,s_8_ratio2,s_9_ma,s_9_me,s_9_vol,s_9_nb,s_9_freq,s_9_ratio,s_9_ratio2,target
6577398,7186.5,-1.634422759620673,396.0708635655634,7.0,0.012,1.209,1.725,14558.4,1.672422126297895,685.5834140088198,14.0,0.023,1.353,1.955,5463.4,0.69087181880302,331.0293283551138,11.0,0.018,1.477,1.336,4816.1,1.9342344294261762,324.42187587911695,12.0,0.02,1.282,1.388,3012.6000000000004,-2.3524774587090214,235.8063716911715,17.0,0.028,1.337,1.379,3894.8,-4.789886835219413,537.502918111712,7.0,0.011,1.022,1.132,3734.6,-4.373143780936984,354.67462888755546,10.0,0.017,1.336,1.178,5119.1,-3.1038482691955136,484.09470182739204,15.0,0.024,1.474,1.312,4522.4,-0.9714171430476158,372.83435666353876,10.0,0.023,1.521,1.292,9496.9,-1.2975283745270911,763.2607722737685,8.0,0.013,1.184,1.486,3455582
6825894,1068.1,0.9544174263762271,118.18934184964496,17.0,0.03,1.155,1.195,4771.9,-0.14038458325676195,359.4955126685001,18.0,0.029,1.057,1.561,1149.3,1.5682905284911919,125.92435516917386,16.0,0.028,1.15,1.195,1985.1,-1.0927484541924302,232.36297949187943,17.0,0.027,1.319,1.19,1497.9,-0.1566973883768604,78.78747862280811,13.0,0.022,1.41,1.702,2742.6000000000004,2.2913618106364892,291.2374579032243,26.0,0.048,1.438,1.145,5455.4,-2.338377693705105,463.60398345039073,23.0,0.043,1.067,1.388,6497.3,0.4430259495675072,370.6139698025786,18.0,0.035,1.169,1.567,2301.6,-0.9897335044415927,218.72176109032011,15.0,0.024,1.437,1.316,2383.8999999999996,-0.8736021066315561,216.21420161564305,12.0,0.02,1.127,1.353,24622916
7048079,4192.5,6.890218496358394,378.7078356342011,9.0,0.019,1.381,1.236,24367.0,-3.6633722771287145,654.4484132721695,5.0,0.019,3.342,2.247,7771.099999999999,19.544474258762353,868.7899152427821,3.0,0.019,1.054,1.407,5535.0,-1.5272578790353495,408.0304147333953,9.0,0.019,2.131,1.265,3436.6,0.26494558424026265,221.16939056074668,17.0,0.033,2.623,1.277,4239.1,1.2609956500724988,575.3609451841351,10.0,0.017,1.317,1.148,4965.799999999999,-4.540074332094465,552.2314581511979,17.0,0.032,1.105,1.178,6755.9,1.5407409876502058,750.8237803052234,15.0,0.035,1.056,1.224,6666.3,-0.6445059249012517,411.39149481463863,8.0,0.036,1.386,1.544,9398.0,11.039166013899768,788.74692181389,10.0,0.019,1.494,1.308,17345419
8090006,1357.5,-3.008933184446926,148.8786401940804,8.0,0.015,1.194,1.197,7561.8,-3.711471475475409,534.4591239505445,13.0,0.027,1.124,1.547,1507.1,-1.4950584156930717,159.39167947111375,16.0,0.028,1.28,1.145,1881.6,1.2278795353410776,234.7829229374165,18.0,0.037,1.132,1.11,2088.7,-0.007183213613106448,123.90435663677862,11.0,0.021,1.444,1.605,8036.700000000001,1.9649505841569308,372.1741830037065,14.0,0.028,2.641,1.442,4382.2,-4.825286245229246,411.78902452742693,22.0,0.037,1.11,1.281,6245.9,-2.617773037116048,383.6349977994556,19.0,0.032,1.331,1.309,1851.1,-0.7985866902218296,198.63779985795836,13.0,0.03,1.015,1.233,3050.2,0.8205363243945935,276.4799331591626,11.0,0.026,1.116,1.294,44573441
9472096,4209.200000000001,-1.2166297228379528,547.1996379263409,9.0,0.014,1.104,1.106,18070.4,1.7550207496541725,1828.0576773959574,20.0,0.033,1.331,1.178,4215.0,-1.161663972267129,507.30780276298935,10.0,0.016,1.083,1.098,5167.9,4.946034232762787,672.4966770113472,16.0,0.028,1.124,1.159,,,,0.0,0.0,0.0,0.0,10349.4,2.2997950034166097,1108.4298022176913,18.0,0.047,1.217,1.285,5900.9,-0.8093365110581491,503.82999570200786,18.0,0.03,1.382,1.443,6166.9,-6.39226012899785,470.73000483341747,12.0,0.025,1.296,1.434,4763.8,-5.394282732032526,638.9782735425903,14.0,0.024,1.002,1.098,8950.0,-3.9485508574857087,1078.4432313167388,12.0,0.019,1.099,1.118,15120042
10035828,6121.7,-3.0694321761303978,688.7746968368606,10.0,0.018,1.192,1.148,15462.9,0.9490841819303012,1010.0456385667283,18.0,0.03,1.051,1.534,5256.8,2.249429176180397,574.3066491418979,11.0,0.02,1.135,1.207,6058.4,1.8616189730171164,586.0275488082787,15.0,0.025,1.248,1.148,1982.3000000000002,4.14447684953492,219.93563437942785,21.0,0.035,1.067,1.283,13967.6,-20.3638439359344,2103.0909675851917,3.0,0.005,1.015,1.106,573.0,1.2504958250695821,55.56597812058273,32.0,0.052,6.766,1.419,3517.0,0.15646405893235113,90.71249200626566,15.0,0.028,1.182,2.389,16194.400000000001,1.191596806719888,866.7600729765513,9.0,0.017,1.647,1.774,7147.4,7.6236396060065665,965.2333862814354,11.0,0.019,1.039,1.135,21697259
10901393,4160.700000000001,-1.6498891685138581,300.8100729009863,7.0,0.017,1.089,1.585,,,,0.0,0.0,0.0,0.0,3946.7,-1.1592140130997817,261.2539361875517,9.0,0.023,1.04,1.636,4451.5,-0.9572173797103382,318.5479499327275,8.0,0.02,1.215,1.451,3667.7,0.3508274862085632,202.03632191621887,11.0,0.02,1.493,1.614,2186.2,-10.484875252079132,324.34706245798304,6.0,0.009,1.031,1.052,2973.7,2.469508841519308,248.95477514287472,5.0,0.011,1.157,1.613,,,,0.0,0.0,0.0,0.0,4400.0,-0.9274178763687272,307.7341155017593,11.0,0.028,1.236,1.429,7995.5,7.627489541840969,592.4462267931596,10.0,0.019,1.076,1.434,43859980
11392010,2680.7,3.146780886985217,278.64809149241256,11.0,0.018,1.222,1.244,6239.9,0.43622606289895166,480.20350843521743,14.0,0.022,1.272,1.329,2524.3,0.3328277862035633,221.98645144259314,10.0,0.015,1.022,1.257,2631.8,0.6455392410126498,241.1323947024678,12.0,0.019,1.027,1.248,3351.5,0.8708188196863386,218.41265689927317,15.0,0.024,1.111,1.358,2566.0,-0.7881035316078066,277.2448655741231,16.0,0.026,1.233,1.165,2999.1000000000004,3.3983100281661973,287.21081234689814,8.0,0.012,1.04,1.182,2661.1,0.13534774420426327,246.9602871062998,15.0,0.024,1.505,1.244,3174.1,-2.0715488075198745,255.62150585995667,11.0,0.018,1.493,1.221,9888.7,-273.49942500958315,1489.5223770016491,1.0,0.0,0.0,0.0,39483628
11804308,5543.3,-5.092998450025833,701.2779732064519,4.0,0.011,1.108,1.095,18238.199999999997,6.698255029082849,1145.3251277421843,15.0,0.027,1.079,1.518,4772.0,-7.885635239412676,693.0927461948387,8.0,0.013,1.013,1.051,5475.6,-1.4565090581823636,658.6032573118895,9.0,0.015,1.111,1.168,,1.7481176303452195,270.4850537210581,7.0,0.014,1.032,1.524,11757.099999999999,-17.178347027549542,1708.4256014065156,8.0,0.013,1.057,1.064,12611.5,5.93813436442726,1151.6590270260858,8.0,0.012,1.402,1.32,23504.7,-10.92345127581207,1557.509273264397,2.0,0.005,2.42,1.71,5533.700000000001,-1.540107664872252,535.5616026736271,16.0,0.033,1.126,1.226,8508.5,-12.331611139814337,1167.928610929716,4.0,0.007,1.148,1.056,29718666
12058946,1052.4,-0.8846019233012783,109.17673465718528,17.0,0.03,1.423,1.192,6776.3,-0.2627622872952117,454.382756047527,16.0,0.026,1.003,1.55,906.7,1.536724387926868,110.3875737203075,14.0,0.024,1.099,1.163,2092.7,0.7393210113164781,238.33767421010714,18.0,0.034,1.184,1.133,2314.5,-0.3714438092698455,95.25885299039575,10.0,0.018,1.584,1.861,3665.1,-0.21067982200296662,289.47336535414104,16.0,0.036,1.457,1.339,3086.2,2.4935084415259747,316.41830396850867,19.0,0.031,1.264,1.273,5325.7,-0.16069732171130482,312.437696489029,16.0,0.042,1.184,1.53,1775.6999999999998,-0.15833069448842518,174.81051032207625,25.0,0.043,1.329,1.16,2869.3,-0.48480858652355796,236.28078789836385,8.0,0.014,1.224,1.46,17944214
12445922,4210.3,1.6566557224046266,495.7841891354601,10.0,0.019,1.084,1.152,,,,0.0,0.0,0.0,0.0,3735.9,1.8896851719138015,470.00682272375485,13.0,0.022,1.071,1.09,5656.6,-1.043265945567574,650.4179094528977,16.0,0.028,1.089,1.197,,,,0.0,0.0,0.0,0.0,6289.5,-0.2808119864668922,815.1582040796453,10.0,0.018,1.219,1.171,8607.9,-0.017583040282661954,554.8534300473874,11.0,0.021,1.883,1.397,9648.7,8.880335327744538,537.6279333487819,18.0,0.029,2.272,1.326,5106.8,0.8158881929056235,590.6113171426547,13.0,0.024,1.045,1.184,8233.4,-4.772853785770237,987.8020089945089,14.0,0.025,1.003,1.149,41193794
13555849,3223.7,0.9212679788670188,322.932535282722,12.0,0.018,1.386,1.205,30000.5,-0.6851219146347561,1261.0134853164616,12.0,0.019,1.465,1.747,2716.2,-1.568007199880002,303.42920611633883,16.0,0.029,1.074,1.174,5428.700000000001,6.513841435976067,410.92198472615934,15.0,0.025,1.585,1.236,3619.1000000000004,0.49655839069348845,299.1188072622217,21.0,0.034,1.299,1.323,3704.7,8.193646772553791,505.0103098882414,7.0,0.013,1.005,1.117,7070.7,4.2121297978367025,375.01810412817645,10.0,0.016,1.799,1.645,6151.4,-4.438892685121915,521.5377316902146,14.0,0.025,1.945,1.18,3962.9,4.344694255095749,448.73508884889327,13.0,0.023,1.003,1.184,7062.700000000001,10.915268078865353,744.4719164032605,13.0,0.025,1.232,1.262,15087463
13787554,3857.8,0.10943150947484209,494.21906767117383,15.0,0.026,1.006,1.094,17709.9,4.7359377343710936,1578.3574345925056,13.0,0.021,1.521,1.355,3557.1,0.23204613256445725,480.09856209588827,13.0,0.024,1.035,1.086,4737.6,2.784386926884552,581.4781776464558,14.0,0.025,1.026,1.161,2854.3,1.6328727854535758,344.7309935167765,15.0,0.024,1.086,1.161,3627.9,3.9159847335877735,618.6511081954212,2.0,0.002,1.018,1.009,6144.2,7.858769020516324,454.2195020738434,8.0,0.018,3.004,1.386,2629.5,-0.6790053499108348,336.7026360895196,16.0,0.027,1.047,1.137,4048.3999999999996,2.4120275899286643,589.063392523405,17.0,0.031,1.02,1.094,7946.1,-7.675388743520942,1006.6670497736368,14.0,0.026,1.073,1.141,10769645
13810270,7457.7,0.5447409209846502,558.6667293600079,9.0,0.017,2.073,1.28,11630.7,2.2460458992350127,961.3341848806565,20.0,0.033,1.185,1.345,5108.0,3.896268395526741,583.289863094244,12.0,0.021,1.157,1.133,4896.7,-0.23617939701004984,544.4405606457833,14.0,0.027,1.3,1.154,3462.3999999999996,-0.6417393043449275,257.46957872870195,11.0,0.018,1.017,1.619,4554.1,-8.014966417226379,557.7739000233669,11.0,0.018,1.155,1.145,5448.799999999999,-0.47587540207663204,529.0002546007622,10.0,0.019,1.181,1.239,5637.3,-4.681121981300311,674.4058601050598,23.0,0.039,1.234,1.155,6171.5,-7.970400493325111,593.3483017197701,9.0,0.016,1.232,1.246,11424.9,10.732271128814519,889.1002275333268,10.0,0.018,1.292,1.273,1912197
14685760,2952.9,-0.3277612039799337,364.43370179693767,15.0,0.029,1.066,1.161,14950.0,0.2908451525807903,949.1017677370512,17.0,0.029,1.019,1.738,3030.6000000000004,1.6441725971233814,433.6830136579906,10.0,0.03,1.007,1.097,2851.3,-3.0756820719654674,350.0653313214434,21.0,0.034,1.003,1.118,2434.1,1.8611689805169913,226.77413950989714,18.0,0.029,1.048,1.321,10753.8,-1.053332444459259,547.6278884886452,10.0,0.024,1.826,1.609,8702.099999999999,-0.6238562690621823,590.5504602482619,16.0,0.027,1.658,1.368,4356.9,0.0760987316878052,461.2887629459153,22.0,0.039,1.028,1.241,3461.9,-0.4478258695688405,395.8129054461372,13.0,0.024,1.061,1.173,7647.4,-2.003833269445509,836.1131424228363,12.0,0.023,1.031,1.186,15964982
14879891,1239.1999999999998,1.0700988316861386,118.21248107917307,14.0,0.029,1.097,1.272,9008.8,0.8708854852419127,465.4298360980869,15.0,0.027,1.062,1.784,1317.0,-0.27901201646639223,120.14632737623529,11.0,0.024,1.06,1.375,1895.0,-1.1828969517174714,146.2831191068605,10.0,0.02,1.284,1.437,4140.4,-0.601406643222613,137.5921024656223,5.0,0.009,1.023,3.096,1927.3,-0.024682921951300812,263.41258069983803,17.0,0.03,1.236,1.145,3476.4,-1.1298978350360827,204.13173662328848,13.0,0.032,1.267,1.681,3586.1000000000004,1.5280578657022383,252.98950456903546,16.0,0.026,1.107,1.32,2019.9,1.4656255729071181,161.2363951975281,10.0,0.024,1.267,1.242,4364.0,-1.016649722504625,283.7889628518432,9.0,0.018,1.132,1.867,14824487
15038768,4549.1,-1.0964983916934719,612.0620685477708,14.0,0.025,1.07,1.111,,,,0.0,0.0,0.0,0.0,4499.0,3.238662688955184,563.8038225245846,13.0,0.022,1.062,1.136,5617.5,6.200596656722388,711.6845254600156,13.0,0.023,1.041,1.119,,,,0.0,0.0,0.0,0.0,5561.7,-3.1770470492158465,849.9135729506825,4.0,0.008,1.065,1.039,4311.2,-3.284728587856869,620.8170897540042,6.0,0.012,1.033,1.053,4308.9,1.5858069032182798,585.9030912764896,5.0,0.015,1.02,1.074,5543.0,2.5547568498303215,696.7637504614959,12.0,0.022,1.05,1.155,9869.0,-9.354560757320712,1158.7061221552033,15.0,0.027,1.018,1.136,43575632
15118652,1993.1999999999998,1.0450492491791803,249.41790512913866,8.0,0.013,1.018,1.161,,,,0.0,0.0,0.0,0.0,2057.7,-0.5079582006966551,216.18473753594847,11.0,0.017,1.021,1.139,2463.1000000000004,1.2224129597840037,278.8957398403374,17.0,0.028,1.074,1.195,2366.0,0.18844685921901302,200.00286127481797,19.0,0.032,1.032,1.454,3518.6,2.1552474125431242,439.9819901374507,4.0,0.005,1.132,1.086,2094.2,4.674922084631922,282.33238982851736,7.0,0.011,1.018,1.117,3611.7,2.9773170447159214,487.4321362685789,14.0,0.024,1.12,1.114,2431.8,0.22716288061865636,268.8275481146266,12.0,0.02,1.098,1.284,4514.1,-2.7868702188296863,554.9558588225901,14.0,0.023,1.018,1.191,21463592
15525330,5100.0,1.3453109114848085,583.9605797560955,11.0,0.017,1.192,1.125,15477.4,2.3531774470425493,1771.8646283155854,17.0,0.029,1.003,1.166,4311.5,-4.254645755904068,540.4489742978159,11.0,0.018,1.078,1.147,4877.799999999999,0.8927351210813154,681.8469747231449,12.0,0.019,1.036,1.091,3217.2,0.6489558507358211,354.6166410363682,20.0,0.032,1.108,1.174,5571.8,-1.0553324111264812,657.8904697392799,5.0,0.008,1.533,1.16,4216.3,-7.744904251595806,505.98952153360796,8.0,0.012,1.127,1.176,3027.1,1.6346394226762888,395.73750294848617,12.0,0.02,1.0,1.078,4961.1,-1.0515015557045364,636.209902223173,18.0,0.029,1.13,1.13,7966.6,-3.4388593523441275,1113.7018176799452,14.0,0.024,1.022,1.1,3368491
15685360,5096.4,-0.8058365693905102,309.6433975549504,9.0,0.015,2.352,1.331,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,4375.4,-5.513124781253646,609.9337494178576,2.0,0.007,1.346,1.173,2006.0,-0.18338027699538342,202.65065695995352,22.0,0.039,1.228,1.221,5485.4,-2.0209329844502593,532.0073143909083,12.0,0.024,1.295,1.305,2301.0,2.3313944767587205,338.46224924546755,2.0,0.003,1.015,1.007,,,,0.0,0.0,0.0,0.0,3070.6,-0.5967733871102149,346.6484407194575,24.0,0.039,1.227,1.176,5445.6,1.4191263478942018,649.942971215485,18.0,0.031,1.031,1.171,897628
15737284,5157.6,12.151130814486425,580.2222566924767,18.0,0.029,1.028,1.168,29509.1,1.117298045032583,2043.7145069271562,20.0,0.032,1.332,1.356,4920.1,1.420292995116748,546.7479347278037,10.0,0.016,1.04,1.132,6973.299999999999,-0.04906584890251829,724.1691488710121,11.0,0.018,1.014,1.284,,,,0.0,0.0,0.0,0.0,3861.3,0.7119881335311078,649.7303159565957,3.0,0.007,1.056,1.032,6089.5,-2.926034566090565,530.3563719465768,7.0,0.012,1.102,1.4,3592.3,4.122497958367361,394.243177281002,14.0,0.023,1.016,1.171,5604.9,2.1335212229908618,703.1689593428367,11.0,0.017,1.331,1.178,10835.0,7.317461375643739,1145.5222838636596,15.0,0.024,1.049,1.233,37723879
16377035,4302.2,2.0059999000016666,348.493267134455,16.0,0.029,1.221,1.32,10505.400000000001,-0.464492258462359,566.1640408173772,17.0,0.029,1.076,1.563,,,,0.0,0.0,0.0,0.0,3298.0,-0.01604973250445826,293.6729037486466,14.0,0.022,1.015,1.248,2697.8,-0.433342777620373,198.55741900878428,14.0,0.023,1.309,1.381,3741.2,-3.580340327661206,469.14995710837127,17.0,0.034,1.031,1.099,4584.8,0.8550024166263895,409.1270530364111,16.0,0.027,1.045,1.396,5715.8,0.4004766587223546,603.1331784981292,19.0,0.031,1.028,1.25,3132.0,0.24614589756837385,326.13142953830504,10.0,0.018,1.087,1.253,7525.0,-2.2733287778537026,704.6550945037559,10.0,0.018,1.035,1.31,37393945
17116587,11419.1,-1.310961483975267,472.0931176185642,8.0,0.028,1.513,1.849,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,5351.5,-8.641872635456076,667.7741284829839,4.0,0.013,1.361,1.143,2307.1,1.2057965700571658,203.55753892336764,23.0,0.04,1.148,1.292,4426.0,2.0269495508408193,566.5856568680504,7.0,0.011,1.094,1.157,3341.5,6.047582540290995,395.5689027294537,7.0,0.013,1.192,1.089,,,,0.0,0.0,0.0,0.0,4012.8,0.7815369743837602,455.36498147310925,26.0,0.046,1.127,1.206,7589.1,-4.105635096981138,767.01107431565,21.0,0.034,1.364,1.233,84289
